"rnames","rep(c(""pre"", ""post""), 41)","1","2","3","4"
"Adidas","pre",1.11485273699305,1.11485273699305,-0.0125702918065145,-0.0125702918065145
"Adidas","post",0.596404312444172,0.596404312444172,0.34155150840606,0.34155150840606
"Airbus","pre",1.05822370759436,1.05822370759436,-0.0382245153301173,-0.0382245153301173
"Airbus","post",0.576540455685567,0.576540455685568,0.351191023412715,0.351191023412715
"Allianz","pre",0.974503665668297,0.974503665668297,0.0575980270181787,0.0575980270181787
"Allianz","post",0.440294032411022,0.440294032411022,0.485636781859127,0.485636781859127
"BASF","pre",0.517397729230488,0.517397729230488,0.393346412676621,0.393346412676621
"BASF","post",0.518047974773082,0.518047974773082,0.471573146378337,0.471573146378337
"Bayer","pre",0.938447276120402,0.938447276120402,-0.0161087652272544,-0.0161087652272544
"Bayer","post",0.583843210841106,0.583843210841106,0.44608552734385,0.44608552734385
"Beiersdorf","pre",1.17885089530272,1.17885089530272,-0.191593312141814,-0.191593312141814
"Beiersdorf","post",0.527093322265221,0.527093322265221,0.418858399724409,0.418858399724409
"BMW","pre",0.585750628390522,0.585750628390522,0.3163788236844,0.3163788236844
"BMW","post",0.2065168612454,0.2065168612454,0.787313993442923,0.787313993442923
"Brenntag","pre",0.492720220560188,0.492720220560188,0.525392621410026,0.525392621410026
"Brenntag","post",0.336704697444372,0.336704697444372,0.704480117554125,0.704480117554125
"Continental","pre",0.212566526168255,0.212566526168255,0.759499734185132,0.759499734185132
"Continental","post",0.291363441311336,0.291363441311336,0.688663265645507,0.688663265645507
"Covestro","pre",0.808900084318941,0.808900084318941,0.217123324135506,0.217123324135506
"Covestro","post",0.0116614997116309,0.0116614997116309,1.00204513463219,1.00204513463219
"Daimler","pre",0.324407995517121,0.324407995517121,0.548201112752831,0.548201112752831
"Daimler","post",0.325082484209662,0.325082484209662,0.639292104119734,0.639292104119734
"DeliveryHero","pre",0.552018953224651,0.552018953224651,0.343237266420518,0.343237266420518
"DeliveryHero","post",0.296602611549712,0.296602611549712,0.648776914351284,0.648776914351284
"DeutscheBank","pre",0.857382421134345,0.857382421134345,0.109602396237803,0.109602396237803
"DeutscheBank","post",0.862531700631696,0.862531700631697,0.150186786639591,0.150186786639591
"DeutscheBoerse","pre",0.777438408416456,0.777438408416456,0.275509469818445,0.275509469818445
"DeutscheBoerse","post",0.694149987114349,0.694149987114349,0.349188834874519,0.349188834874519
"DeutschePost","pre",0.929102644685022,0.929102644685023,0.0513988990640317,0.0513988990640317
"DeutschePost","post",0.835545458967061,0.835545458967061,0.290726055278993,0.290726055278993
"DeutscheTelekom","pre",0.626947764192957,0.626947764192957,0.379424821642915,0.379424821642915
"DeutscheTelekom","post",0.849713359086161,0.849713359086161,0.248255494737287,0.248255494737287
