"company","LS_IS_upper","LS_IS_lower","LS_unique_IS","controll_unique_IS"
"Adidas",0.997398267232579,0.00269544334748964,0.646449169456731,0.336037549648967
"Airbus",0.977949391908648,0.0217140351442159,0.488313199797815,0.512358361757742
"Allianz",0.982837198269239,0.017549808969681,0.658337189129738,0.338637864899788
"BASF",0.98407498221606,0.0159790438733975,0.482184728595459,0.524493793822711
"Bayer",0.971206502049446,0.0314203655915566,0.386575093972589,0.646107019315038
"Beiersdorf",0.999227760931889,0.000848089027763742,0.732681953179542,0.389242675373996
"BMW",0.976626524346405,0.0237979451342915,0.370157454173337,0.618952440252857
"Brenntag",0.938398129707826,0.0639569183537038,0.417452671259983,0.622482018424072
"Continental",0.959811262098205,0.0408539323841701,0.352501452784781,0.648162149427457
"Covestro",0.903039427376527,0.100660875670023,0.567988339148795,0.597440012765179
"Daimler",0.9440479345734,0.0561355007906076,0.409958713973247,0.635689274817112
"DeliveryHero",0.968855239218984,0.0321062989829131,0.509300010450879,0.531345902483185
"DeutscheBank",0.999713762100325,0.000307819089138893,0.725722421131978,0.393413176514357
"DeutscheBoerse",0.99488533659358,0.00632953257908142,0.673534787338757,0.312530328573318
"DeutschePost",0.989355153021424,0.0105544053362912,0.464439883883326,0.555492085727863
"DeutscheTelekom",0.992674661924595,0.00818594988759632,0.330304385552286,0.881083399101799
"EON",0.99942771196195,0.000748512866092906,0.420913382,0
"Fresenius",0.922849037457575,0.0778690928108997,0.602673715332678,0.545925015888036
"FreseniusMedicalCare",0.998742847506347,0.00159467427924002,0.746623966,0
"HeidelbergCement",0.976855455054365,0.0237792584037103,0.448635662096096,0.550055825526579
"HelloFresh",0.996913942857819,0.00346329582195821,0.831362808057909,0.168637191942091
"Henkel",0.996980907632249,0.003432872001558,0.686674940044317,0.35956398743521
"Infineon",0.987480094197209,0.0133918691276524,0.619634789385928,0.37794597945339
"Linde",0.9738743371996,0.0326727143728983,0.636679152218162,0.353663589735138
"Merck",0.987754785850463,0.0129330671111874,0.658966855523314,0.325710394907545
"MTU",0.995926194135934,0.00405410654329634,0.701977901680649,0.308693059331514
"MunichRe",0.987948090915894,0.0127447003041119,0.579400707627002,0.409460189712482
"Porsche",0.973372811749295,0.0274897723765954,0.472394857625427,0.527647774936642
"Puma",0.996182990012569,0.00470136307167347,0.662290509387489,0.380535870008506
"Qiagen",0.985775747970644,0.0180173182994619,0.496730804587891,0.552296943666428
"RWE",0.957415643537283,0.0443549242841415,0.532171815048765,0.502212518809791
"SAP",0.986242366575461,0.0150780972674881,0.639200537099077,0.360439849205819
"Sartorius",0.905568236331243,0.0935376854216545,0.896498748,0
"Siemens",0.979141029134758,0.0202356283323524,0.398951724665306,0.597482799370881
"Symrise",0.985723783669523,0.0169796918953421,0.487700253021979,0.514141107267129
"Volkswagen",0.993100428772193,0.00722142813053615,0.620228828046896,0.400811210540716
"Vonovia",0.999476885548141,0.000550141285928902,0.757906762,0
"Zalando",0.952032771116471,0.050780393923535,0.429240774003249,0.56867895846196
"AMC",0.994883608336583,0.00872894934279498,0.493123379551458,0.811862852029693
"GameStop",0.918875322262671,0.1494496110048,0.574263389319368,0.485103859926658
"Tesla",0.995517201806417,0.0132862882839243,0.958828199,0
