"X1","X2","X3","X4"
"Zalando","pre","LS",1.10062324243946
"Zalando","pre","Xetra",-0.134450376927984
"Zalando","post","LS",0.590990138432288
"Zalando","post","Xetra",0.463565961430777
"AMC","pre","LS",1.04736213956929
"AMC","pre","Xetra",-0.0434392357559733
"AMC","post","LS",0.981839107044863
"AMC","post","Xetra",0.29517872054033
"GameStop","pre","LS",1.21513229913365
"GameStop","pre","Xetra",-0.149575903796286
"GameStop","post","LS",0.735263369094061
"GameStop","post","Xetra",0.228039146573851
"Tesla","pre","LS",1.62237537082481
"Tesla","pre","Xetra",-0.472477021781956
"Tesla","post","LS",1.03341941994728
"Tesla","post","Xetra",-0.0490046850403932
